Side,Role,File,Rank
White,Pawn,a,2
White,Pawn,b,2
White,Pawn,c,2
White,Pawn,d,2
White,Pawn,e,2
White,Pawn,f,2
White,Pawn,g,2
White,Pawn,h,2
White,Rook,a,1
White,Knight,b,1
White,Bishop,c,1
White,Queen,d,1
White,King,e,1
White,Bishop,f,1
White,Knight,g,1
White,Rook,h,1
Black,Pawn,a,7
Black,Pawn,b,7
Black,Pawn,c,7
Black,Pawn,d,7
Black,Pawn,e,7
Black,Pawn,f,7
Black,Pawn,g,7
Black,Pawn,h,7
Black,Rook,a,8
Black,Knight,b,8
Black,Bishop,c,8
Black,Queen,d,8
Black,King,e,8
Black,Bishop,f,8
Black,Knight,g,8
Black,Rook,h,8
